Designator,Mid X,Mid Y,Rotation,Layer
C10,89.136,12.878,0.0,top
C11,43.7716,2.1592,90.0,top
C12,36.939,2.1978,90.0,top
C13,50.464,7.8102,90.0,top
C14,62.3136,28.118,270.0,top
C15,88.628,27.864,0.0,top
C16,68.103,18.339,0.0,top
C17,63.228,24.054,90.0,top
C18,59.672,14.148,0.0,top
C19,78.468,14.148,0.0,top
C20,78.468,5.004,0.0,top
C21,72.626,32.436,270.0,top
C22,50.4642,4.5976,0.0,top
C23,69.959,14.402,90.0,top
C24,57.64,24.054,270.0,top
C25,60.18,24.054,270.0,top
C26,58.529,28.626,180.0,top
C27,102.09,2.324,270.0,top
C28,59.672,5.004,0.0,top
C29,21.2164,33.452,90.0,top
C3,13.19,37.262,180.0,top
C30,16.1364,33.452,270.0,top
C31,31.5,7.8618,180.0,top
C32,15.73,30.0484,0.0,top
C33,15.73,28.5244,0.0,top
C34,10.396,28.5244,180.0,top
C35,10.396,30.0484,180.0,top
C36,30.97,15.926,0.0,top
C37,28.43,16.688,270.0,top
C38,28.43,20.117,90.0,top
C39,28.938,22.53,180.0,top
C4,8.8212,37.262,0.0,top
C40,28.75,8.6108,90.0,top
C5,93.5,12.25,180.0,top
C7,89.136,15.2148,0.0,top
C9,94.25,26.9496,180.0,top
CR1,38.271701,15.0116,0.0,top
CR2,50.02,15.0116,0.0,top
CR3,44.14585,15.0116,0.0,top
CR4,27.5,30.0,270.0,top
D1,19.6416,36.754,0.0,top
D2,69.832,32.25,270.0,top
D3,76.69,33.706,270.0,top
F1,31.732,23.927,270.0,top
F2,99.1436,21.0,90.0,top
F3,99.042,27.356,90.0,top
F4,52.306,31.674,0.0,top
J1,27.3164,41.1272,180.0,top
J2,105.670001,25.1084,90.0,top
J3,89.893,33.7335,180.0,top
J4,41.257,29.1593,180.0,top
J6,103.846,11.862,90.0,top
J7,44.4158,7.4804,180.0,top
J8,6.5,27.0,270.0,bottom
L1,78.468,24.308,180.0,top
L2,53.068,26.467,90.0,top
Q1,68.435,25.1716,180.0,top
R10,45.2956,2.1592,270.0,top
R11,38.463,2.1978,270.0,top
R12,39.987,2.1978,90.0,top
R13,50.4642,3.0736,180.0,top
R14,43.8732,11.8112,180.0,top
R15,40.4188,11.7604,0.0,top
R18,5.2144,22.784,0.0,top
R19,48.877,7.8102,90.0,top
R2,31.5582,30.2,270.0,top
R20,52.052,7.8102,270.0,top
R21,63.8376,28.118,270.0,top
R22,5.1636,30.0992,0.0,top
R25,68.816,9.576,0.0,top
R27,100.566,2.324,270.0,top
R3,23.4302,29.7134,270.0,top
R38,31.5,9.3728,0.0,top
R4,28.176,25.578,270.0,top
R5,29.7,25.578,270.0,top
R6,8.8212,35.6364,0.0,top
R9,46.8196,2.1592,90.0,top
RN1,19.9972,29.134,90.0,top
RN2,29.3472,12.751,0.0,top
RN3,44.178,18.8216,270.0,top
RN4,12.428,32.7408,270.0,top
RN5,30.97,19.101,180.0,top
RN6,38.4376,18.8216,270.0,top
RN7,50.02,18.8216,270.0,top
RN8,5.2144,26.3908,180.0,top
S1,16.1364,40.0052,180.0,top
S2,9.253,40.0052,180.0,top
TH1,99.042,2.337,270.0,top
U1,17.3512,16.088,180.0,top
U2,92.1805,6.782,0.0,top
U3,92.1805,21.26,0.0,top
U4,69.07,5.258,270.0,top
U6,62.6184,33.1726,0.0,top
U7,18.6764,33.706,0.0,top
